datetime,open,high,low,close,volume
1507291200000.0,13699.58,13699.58,13655.42,13655.42,0.1781
1507334400000.0,13978.1,13978.1,13978.1,13978.1,0.5694
1507377600000.0,13752.0,13978.1,13752.0,13978.1,0.0237651
1507420800000.0,14066.34,14066.34,14066.34,14066.34,0.01
1507464000000.0,15385.49,15398.51,15385.49,15398.51,0.19497601
1507507200000.0,14469.89,14508.53,14469.89,14494.02,0.208
1507550400000.0,15093.2,15997.01,15093.2,15997.01,0.03494193
1507593600000.0,15222.35,16157.76,15031.1,16157.76,0.3837645
1507636800000.0,16161.51,16161.51,15220.24,15397.07,0.43355644
1507723200000.0,16223.28,16271.57,15080.97,15080.97,0.47002862
1507766400000.0,16197.81,16197.81,16197.81,16197.81,0.1069
1507809600000.0,16304.17,17733.8,16304.17,16566.05,1.24083322
1507852800000.0,17458.44,17626.74,17356.59,17626.74,0.4046
1507896000000.0,17480.71,17989.38,17383.63,17424.97,0.2103
1507982400000.0,17790.79,17790.79,17724.08,17724.08,0.4693
1508025600000.0,18304.68,18304.68,17982.23,17982.23,0.12530895
1508112000000.0,17853.58,18718.92,17853.58,18718.92,0.030284
1508155200000.0,18939.0,18939.0,17823.94,18028.01,0.04998011
1508198400000.0,18051.09,19133.63,18051.09,18661.37,0.117466
1508241600000.0,17426.44,18496.98,17426.44,18496.98,0.05733458
1508284800000.0,18251.56,18251.56,18251.56,18251.56,0.0054
1508328000000.0,16403.31,17781.87,16403.31,17375.54,0.21763913
1508371200000.0,17411.57,17781.87,17386.98,17491.87,0.14843038
1508414400000.0,17598.25,17700.0,17528.74,17597.24,0.896
1508457600000.0,17781.87,17781.87,17610.39,17610.39,0.12147
1508500800000.0,17781.87,19804.76,17781.87,19804.76,1.06310263
1508544000000.0,18853.05,20116.68,18853.05,18866.75,0.21925645
1508587200000.0,12185.01,12185.01,12185.0,12185.0,0.07
1508760000000.0,12185.0,20999.0,12185.0,20299.0,0.01734731
1508803200000.0,17000.0,17000.0,17000.0,17000.0,0.0866
1508846400000.0,17000.0,17200.0,1.12,2180.0,0.50035269
1508889600000.0,17400.0,17400.0,17400.0,17400.0,0.0115
1508932800000.0,17560.3,18000.0,16853.0,17950.0,0.1117
1508976000000.0,17950.0,17950.0,12185.0,12185.0,0.06
1509019200000.0,20289.94,20289.94,20289.94,20289.94,0.03597842
1509062400000.0,20288.99,20288.99,20288.99,20288.99,0.00492878
1509105600000.0,20288.99,20999.0,20288.99,20999.0,0.02494862
1509192000000.0,12186.0,12186.0,12186.0,12186.0,0.01
1509235200000.0,12186.0,12186.0,12186.0,12186.0,0.0043
1509321600000.0,19500.0,19500.0,17000.0,17000.0,0.109
1509364800000.0,13000.0,13000.01,10000.0,10000.0,0.05153038
1509408000000.0,17250.0,17250.0,17250.0,17250.0,0.0597
1509537600000.0,19000.0,20500.0,19000.0,19000.0,0.04071463
1509580800000.0,20500.0,20500.0,20500.0,20500.0,0.00051
1509624000000.0,21000.0,21100.0,19100.0,21100.0,1.1022
1509667200000.0,21700.0,21700.0,19000.0,19000.0,0.1943
1509753600000.0,19100.0,19100.0,19100.0,19100.0,0.0044
1509796800000.0,23000.0,24290.0,23000.0,24290.0,0.40281973
1509840000000.0,20555.0,24483.9,20555.0,24483.9,0.01210483
1509883200000.0,23438.09,23438.09,23438.09,23438.09,0.0005
1509969600000.0,24547.92,24610.0,22172.99,22172.99,0.23772756
1510012800000.0,21961.99,22404.11,21961.99,22404.11,0.14848444
1510056000000.0,23000.0,23689.3,22201.39,23689.3,0.77232406
1510099200000.0,23900.0,24171.73,23900.0,24171.73,0.2495
1510142400000.0,24690.9,24979.76,22321.95,24220.16,0.54715564
1510185600000.0,22603.13,22603.13,22603.13,22603.13,0.018
1510228800000.0,22603.09,28300.0,22386.38,23822.26,0.32062444
1510272000000.0,23150.0,23150.01,23150.0,23150.0,0.1518
1510315200000.0,22400.0,22400.0,20809.68,20809.69,0.73412903
