lowest,volume,amount,avg_price,opening,date,closing,highest,quantity
900.0,126381.07482353,289,932.72465029,945.66211,2014-11-07,934.99996,959.99919,135.49666001
923.0,54596.35393267,154,940.47434979,923.99999,2014-11-08,931.00002,956.0,58.05193299
927.00001,49741.68573404,93,967.26199395,931.00002,2014-11-09,963.033,1000.0,51.42524574
966.99999,157057.3254628,306,1002.85962753,966.99999,2014-11-10,999.99998,1029.9,156.60948068
986.99995,120016.60866029,335,999.19583218,990.0,2014-11-11,1016.99998,1018.0,120.11319983
1001.20004,254006.16943336,567,1104.21179143,1016.98099,2014-11-12,1135.0,1200.0,230.0339223
1060.09999,194935.67116455,491,1134.3440137,1135.0,2014-11-13,1147.99964,1189.999,171.84881201
1052.0,109649.26312416,316,1102.60556714,1130.95431,2014-11-14,1097.0,1144.0,99.44559178
1040.00001,111406.67795205,207,1069.84845175,1096.99999,2014-11-15,1044.0,1097.0,104.13313939
1030.0003,36318.52960954,75,1045.98391769,1049.99999,2014-11-16,1050.0,1050.0,34.72188147
1000.0,181206.78735034,297,1057.43983783,1050.0,2014-11-17,1064.0,1100.0,171.36368507
1036.01,74424.67898099,230,1054.9239392,1064.0,2014-11-18,1055.99998,1064.0,70.54980574
1023.5,122812.99945663,282,1056.24933328,1053.5,2014-11-19,1058.99,1083.99,116.2727356
943.0,179144.72123025,390,979.43353976,984.00001,2014-11-21,976.99989,1020.0,182.90645966
945.0,31714.35427479,117,968.40012097,950.0,2014-11-22,963.0,994.0,32.74922585
960.0,24962.41780083,60,973.77632877,963.0,2014-11-23,980.10002,993.0,25.6346525
972.98457,103216.9747186,241,1017.14086736,992.99991,2014-11-24,1019.0028,1042.96,101.4775613
1010.00003,82555.67842843,243,1030.04132258,1019.0028,2014-11-25,1033.65998,1045.99,80.14792865
990.3,112630.14746849,250,1010.15268786,1019.99988,2014-11-26,1009.83964,1034.49,111.49814164
1000.00101,100861.9375802,228,1009.10189543,1000.00101,2014-11-27,1000.12,1026.98,99.95218326
990.0,65276.97684867,144,1005.52669549,1008.99905,2014-11-28,1019.99999,1020.0,64.91819376
1004.2143,8022.30954276,42,1018.92632701,1019.99999,2014-11-29,1019.99998,1020.0,7.87329695
1005.99923,14340.17768849,49,1011.8470873,1020.0,2014-11-30,1019.99995,1020.0,14.17227748
1012.0,88402.40311462,236,1030.10541805,1019.00023,2014-12-01,1039.87998,1045.0,85.81879249
1025.99923,58212.14519226,228,1035.75484476,1039.87997,2014-12-02,1036.99156,1045.0,56.20262892
1020.1,104554.5013295,244,1029.1571134,1036.95784,2014-12-03,1024.0,1036.9972,101.59236133
1012.12992,71024.11144148,184,1024.24548804,1034.94991,2014-12-04,1019.99999,1039.0,69.34285996
1013.0,46474.62682067,166,1029.09651754,1019.99999,2014-12-05,1039.88284,1040.0,45.16061033
1015.5,42667.59008128,90,1025.24268581,1039.8459,2014-12-06,1035.0,1039.85,41.61706362
986.0,65959.30726114,119,1005.96106794,1035.0,2014-12-07,1002.81094,1035.87675,65.56844928
1000.0,77741.40926717,200,1013.3465669,1024.44837,2014-12-08,1000.0,1024.44837,76.7174941
968.0,165120.14422603,376,989.39471041,1018.99998,2014-12-09,970.0,1018.99998,166.89006166
960.00101,77175.24705349,250,984.62234695,968.0,2014-12-10,985.96558,1001.99899,78.38055605
960.1,105528.7543376,262,996.82323362,972.06326,2014-12-11,999.99,1033.33,105.86506291
993.22,54165.38067305,147,1013.85979924,993.22001,2014-12-12,1000.21334,1025.4888,53.42492198
980.0,43799.0216048,116,999.30588909,1016.99971,2014-12-13,993.99953,1016.99971,43.8294441
982.1,19450.84425926,47,1002.78184662,986.0,2014-12-14,993.2151,1014.0,19.3968851
992.04014,81527.70998898,201,1008.98529688,993.2151,2014-12-15,998.00016,1014.00023,80.80168288
950.0,122444.01503237,322,988.05963503,1009.88397,2014-12-16,950.12201,1009.88397,123.92370935
895.0,101263.98153965,387,936.55046437,955.00002,2014-12-17,922.32853,972.20781,108.12442617
872.06212,75663.5738371,253,899.52377951,929.91401,2014-12-18,884.14323,930.0,84.11514577
870.00283,78293.69766598,291,899.72718124,879.21312,2014-12-19,910.0,929.0,87.01937576
910.11804,26198.85853071,77,931.5871366,919.24404,2014-12-20,941.99983,945.0,28.12282126
906.69776,87377.10824403,253,946.75930191,914.36321,2014-12-22,943.42902,980.0,92.2907312
934.99999,91341.1920232,276,955.9159528,944.89995,2014-12-23,961.1931,979.99999,95.55358058
922.0,76342.34977967,157,938.1734225,948.51262,2014-12-24,922.0,954.79,81.37338785
910.0,9010.46166508,45,918.41807189,922.0,2014-12-25,917.99986,929.25572,9.8108497
911.0,66302.30230018,204,937.68980833,917.99981,2014-12-26,932.1,957.0,70.70814006
914.0,74018.43291577,151,925.8003867,930.10004,2014-12-27,932.35811,950.0,79.95074746
905.01009,23114.05449578,73,916.78800385,920.00995,2014-12-28,905.01009,940.0,25.21199492
900.0,57582.05708671,210,915.27818629,908.0,2014-12-29,902.0041,930.0,62.91208285
846.0,88020.51969609,300,895.10366897,902.0045,2014-12-30,884.99994,926.20305,98.33555905
852.0,68126.61479155,218,897.7242457,884.99992,2014-12-31,907.00002,931.58,75.88813059
880.00001,14379.7633326,34,888.91825234,900.0,2015-01-01,880.10005,914.98999,16.17669937
881.40001,70139.88118973,219,915.4364154,885.0,2015-01-02,921.84715,945.99023,76.61906388
810.01,83258.22287073,205,870.86640038,909.03611,2015-01-03,810.01,914.1937,95.60389841
763.0,40731.13555221,224,803.07697109,802.00001,2015-01-04,848.99999,861.32999,50.71884392
786.01014,62520.07601192,196,806.33285611,806.00001,2015-01-05,788.0,840.0,77.53631213
788.00002,62787.46478496,277,830.05407359,788.00002,2015-01-06,869.96999,884.0,75.6426199
838.99914,113001.58059236,364,877.46012334,869.96999,2015-01-07,894.37342,913.77777,128.78258235
862.01009,105066.54618768,326,896.07153921,912.07042,2015-01-08,905.98343,920.0,117.25240853
870.05009,71357.94321866,241,888.21999129,891.47246,2015-01-09,877.15778,906.0,80.33814136
846.0,46592.80240154,181,864.31490195,877.87592,2015-01-10,870.18074,887.99704,53.90720708
820.0,90827.78848154,119,841.20059816,859.64428,2015-01-11,850.0,860.02885,107.97399417
800.0,84285.17003815,250,829.89262439,857.62425,2015-01-12,800.0,857.62425,101.56153647
620.05009,142122.99150176,488,730.92340468,827.99998,2015-01-13,640.08056,839.81321,194.44307104
455.27582,126606.74416222,652,568.38814001,640.08056,2015-01-14,550.0,700.0,222.74698441
551.99999,149951.43125833,646,650.34847693,553.09477,2015-01-15,659.99,710.0,230.57089634
601.0,120699.89988159,467,632.00540714,642.10641,2015-01-16,650.0,669.98999,190.9792203
583.2061,49841.3279532,220,621.33389186,625.00001,2015-01-17,625.99999,648.99995,80.21665743
607.99924,7449.75897423,64,626.88820623,608.18908,2015-01-18,633.90016,634.0,11.88371212
608.00001,103813.75534441,474,634.41197152,633.90016,2015-01-19,624.61088,664.21137,163.63776222
602.0,153046.25040717,343,617.04652806,624.11914,2015-01-20,602.0,625.0,248.03032421
630.0,99676.4545893,241,645.98038659,630.0,2015-01-22,637.99996,659.98999,154.30260215
620.00001,43644.30339945,117,639.88298581,637.99992,2015-01-23,631.0501,647.98999,68.20669461
625.05015,43564.38764981,104,660.20141241,630.0,2015-01-24,680.0,689.99999,65.98651083
660.0,73525.63680922,194,695.04427117,688.02995,2015-01-25,717.20023,750.0,105.78554469
710.01036,145376.70482843,393,754.65914853,745.9997,2015-01-26,732.1756,828.833,192.63889547
702.0,143228.26617785,387,740.85807886,732.3555,2015-01-27,724.60603,780.0,193.32753501
651.00001,188842.6858326,464,693.08095507,747.12089,2015-01-28,659.99999,747.12733,272.46843886
635.0,95571.55633261,262,655.67787119,660.0,2015-01-29,671.99998,687.337,145.75992348
640.84738,66774.23014059,213,666.45480084,642.03443,2015-01-30,669.68269,700.0,100.19318648
640.85,51114.85873242,162,658.9702522,653.47794,2015-01-31,640.85,693.33,77.56777876
620.0,56391.08345116,103,633.38410055,640.00002,2015-02-01,662.0,662.0,89.03141617
650.0,58457.26237762,196,671.13892153,662.0,2015-02-02,688.60086,692.0,87.10158285
654.0,101362.31353074,287,686.50725342,667.27508,2015-02-03,670.78233,700.0,147.64929726
647.02,81348.2652557,196,662.55664361,667.03366,2015-02-04,667.99998,684.85,122.77933674
631.15025,79656.47846207,193,644.80184688,658.00005,2015-02-05,635.17963,667.99998,123.53636834
642.1968,79262.60165877,219,650.99914776,642.668,2015-02-06,658.39,658.39,121.75530787
646.61001,14651.77526312,83,663.04670841,658.3643,2015-02-07,674.0,674.0,22.09765176
646.0,5433.61175698,35,654.923656,670.0,2015-02-08,650.0752,673.49658,8.29655748
637.0,106630.54559134,263,647.75438899,659.84761,2015-02-09,650.19526,667.00595,164.61570528
642.23965,47257.29032187,175,665.48470344,650.19526,2015-02-10,670.0,674.0,71.01183555
657.08904,77682.42543138,196,669.2356568,657.08904,2015-02-11,669.63193,674.5,116.07633969
663.01009,51085.1275881,151,669.57894365,668.99999,2015-02-12,664.30001,674.0,76.29440572
663.56383,89517.36096156,181,687.63873615,664.3,2015-02-13,697.99,700.0,130.18080026
697.99,59183.20130575,131,718.06863585,700.0,2015-02-14,705.67713,725.0,82.41997819
694.99999,36205.44845693,142,711.15396623,714.90813,2015-02-15,700.0,740.00001,50.91084375
681.0,9502.60907755,66,692.64325865,699.99998,2015-02-16,700.0,714.98,13.71934103
680.0,8365.40941081,71,697.12788632,687.05362,2015-02-17,700.73813,719.99,11.99982037
660.0,74826.64271403,215,706.4146747,701.09913,2015-02-18,688.0,739.0,105.92453044
687.03003,65430.10511338,146,712.84730229,688.0,2015-02-19,714.0,715.0,91.78698566
700.0,88613.87609263,157,715.03525464,713.99999,2015-02-20,720.0,723.0,123.92938043
684.40001,22881.15301581,77,699.61134835,733.09999,2015-02-22,699.0,733.09999,32.7055201
670.00008,78776.93246843,221,707.96366631,688.00001,2015-02-23,705.00019,727.0,111.27256414
691.65,49744.93532059,121,709.41854098,715.93999,2015-02-24,710.8,715.94,70.12071499
693.0,79551.59179755,160,707.11759671,710.8,2015-02-25,713.95,715.9,112.50121927
705.0,68571.55448296,116,712.1945485,705.0,2015-02-26,714.0,714.0,96.28205471
713.50001,85661.58395101,173,731.10682864,714.0,2015-02-27,736.0,740.0,117.16698654
721.00003,16742.14651594,55,734.21418662,735.0,2015-02-28,736.0,736.0,22.80280989
730.0,29322.75868564,45,735.73591954,736.0,2015-03-01,731.50001,739.0,39.85500491
721.00002,152958.55071548,239,747.61274692,737.0,2015-03-02,753.0122,780.0,204.59596408
746.12,171998.10606723,326,777.17274358,753.0122,2015-03-03,780.0084,830.0,221.31258139
781.81366,114702.12127368,241,802.02042593,822.61659,2015-03-04,805.0,828.0,143.01645889
790.01,107728.87514151,166,803.88931227,805.0,2015-03-05,808.99999,810.0,134.00958751
793.08258,91487.51036241,129,806.69353717,793.08258,2015-03-06,813.5,813.5,113.41049128
800.0,24049.4512775,90,821.01778817,808.911,2015-03-07,827.98,828.0,29.29224144
823.999,17961.5896229,76,831.01973261,827.98,2015-03-08,845.01134,847.77,21.61391471
832.0,90460.1290735,230,860.69936883,845.01,2015-03-09,898.99999,900.0,105.10072663
